City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,Camapua,BR,2021-01-15 16:04:26,-19.5314,-54.0439,83.39,59,99,12.28
270,Elizabeth City,US,2021-01-15 16:06:17,36.2946,-76.2511,53.6,76,1,9.22
271,Sola,VU,2021-01-15 16:06:50,-13.8833,167.55,82.54,77,100,6.44
272,Khatanga,RU,2021-01-15 16:06:50,71.9667,102.5,-49.31,75,2,2.33
273,Asau,RO,2021-01-15 16:06:50,46.4333,26.4,24.01,66,99,1.34
274,Kaputa,ZM,2021-01-15 16:06:51,-8.4689,29.6619,69.67,78,91,5.77
275,Verkh-Usugli,RU,2021-01-15 16:06:51,52.7,115.1667,-7.31,86,96,4.47
276,Panama City,PA,2021-01-15 16:03:37,8.9936,-79.5197,84.2,74,40,8.05
277,Bereda,ES,2021-01-15 16:06:51,43.2686,-7.5406,45.0,100,13,3.0
278,Swan River,CA,2021-01-15 16:06:51,52.1058,-101.2676,12.2,92,72,5.75
279,Cayenne,GF,2021-01-15 16:03:50,4.9333,-52.3333,84.2,74,75,12.66
280,Sorong,ID,2021-01-15 16:06:51,-0.8833,131.25,81.95,78,100,5.97
281,Buin,CL,2021-01-15 16:06:24,-33.7333,-70.75,86.0,29,0,9.22
282,Cairns,AU,2021-01-15 16:06:51,-16.9167,145.7667,77.0,69,100,9.22
283,Nishihara,JP,2021-01-15 16:06:52,26.1842,127.7558,66.2,59,40,9.22
284,Rio Gallegos,AR,2021-01-15 16:06:52,-51.6226,-69.2181,64.4,52,20,13.8
285,Bam,IR,2021-01-15 16:06:52,29.106,58.357,59.05,25,82,4.74
286,Nazarovo,RU,2021-01-15 16:06:52,56.0064,90.3914,-4.63,89,100,8.46
287,Boyolangu,ID,2021-01-15 16:06:52,-8.1181,111.8935,76.93,83,100,3.53
288,Itaituba,BR,2021-01-15 16:06:52,-4.2761,-55.9836,87.8,70,75,11.5
289,Sorland,NO,2021-01-15 16:06:52,67.667,12.6934,37.4,81,40,6.91
290,Bandarbeyla,SO,2021-01-15 16:06:52,9.4942,50.8122,75.02,78,52,17.49
291,Meulaboh,ID,2021-01-15 16:06:52,4.1363,96.1285,77.54,86,99,5.21
292,Xingcheng,CN,2021-01-15 16:06:53,40.6167,120.7167,10.29,79,0,7.67
293,Suicheng,CN,2021-01-15 16:06:53,33.8963,117.9331,30.31,90,25,11.72
