,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
310,Kloulklubed,PW,78.8,broken clouds,7.0419,134.2556,Storyboard Beach Resort
312,Guerrero Negro,MX,77.04,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
313,Kandrian,PG,81.86,overcast clouds,-6.2167,149.55,Kandrian Station
318,Tomohon,ID,77.0,scattered clouds,1.3346,124.8392,Gardenia Country Inn
319,Lucea,JM,81.0,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
320,Inverell,AU,75.0,clear sky,-29.7833,151.1167,Sapphire City Motor Inn
328,Bambanglipuro,ID,75.78,heavy intensity rain,-7.95,110.2833,Puri Brata
330,Conceicao Da Barra,BR,77.68,clear sky,-18.5933,-39.7322,Cricaré Praia Hotel
331,Labuhan,ID,76.77,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
339,Necochea,AR,78.01,few clouds,-38.5473,-58.7368,dyd -mar Hotel
342,Ransang,PH,78.15,moderate rain,8.9603,117.5828,
347,Bubaque,GW,78.21,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
370,Byron Bay,AU,75.2,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
372,Poya,NC,76.69,overcast clouds,-21.35,165.15,
373,Lompoc,US,80.6,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
374,Batticaloa,LK,77.61,moderate rain,7.7102,81.6924,Grand Star Guest House
382,Grand Gaube,MU,75.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
388,Pangai,TO,84.2,few clouds,-19.8,-174.35,Ha'apai Beach Resort
390,Sinnamary,GF,77.05,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
393,Saint-Pierre,RE,78.8,broken clouds,-21.3393,55.4781,Lindsey Hôtel
394,Balabac,PH,78.84,moderate rain,7.9868,117.0645,Sing and Swing Lodge
395,Carmen,MX,75.2,broken clouds,18.6333,-91.8333,Hotel Lossandes
402,Meulaboh,ID,75.85,overcast clouds,4.1363,96.1285,Kost Pria
404,Gorontalo,ID,75.22,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
422,Kirakira,SB,84.13,broken clouds,-10.4544,161.9205,SanBiz Lodge
426,Florianopolis,BR,79.0,light intensity drizzle,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
427,Manokwari,ID,79.45,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
431,Piripiri,BR,80.13,broken clouds,-4.2733,-41.7769,Califórnia Hotel
438,Alofi,NU,84.2,light rain,-19.0595,-169.9187,Taloa Heights
443,Sinjai,ID,76.5,heavy intensity rain,-5.1241,120.25299999999999,Wisma Sandika
446,Bull Savanna,JM,78.06,broken clouds,17.8868,-77.5902,Big Red's
447,Mitsamiouli,KM,80.78,clear sky,-11.3847,43.2844,Foyer ADM
448,Salvador,SV,84.2,few clouds,13.8333,-88.9167,Chico's Ranch
460,Mapiripan,CO,80.53,broken clouds,2.8892,-72.1256,Monserrate
464,Carlagan,PH,77.34,broken clouds,14.975,122.0456,Cabatagan Island
467,Lazaro Cardenas,MX,82.9,overcast clouds,17.9583,-102.2,Collection O Hotel Quinta Antigua
471,Buchanan,LR,75.2,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
476,Daru,PG,80.2,light rain,-9.0763,143.2092,Daru Lodge
480,Belmonte,BR,78.8,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
487,Viedma,AR,82.98,overcast clouds,-40.8135,-62.9967,Hotel Cristal
493,Conceicao Do Araguaia,BR,79.68,light rain,-8.2578,-49.2647,Tarumã Tropical Hotel
499,Uchiza,PE,80.46,light rain,-8.4592,-76.4633,Hotel San Pedro
502,Tonantins,BR,81.59,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
505,Sawakin,SD,77.56,few clouds,19.1059,37.3321,فندق الدويم
506,Caravelas,BR,77.85,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
507,Zarate,AR,84.99,clear sky,-34.0981,-59.0286,Departamento céntrico 2 ambientes 45 mt2 en Zárate
508,Moron,AR,81.0,clear sky,-34.6534,-58.6198,Hotel Morón
512,Yuma,US,79.0,few clouds,32.7253,-114.6244,Best Western Yuma Mall Hotel & Suites
513,Padang,ID,76.37,scattered clouds,-0.9492,100.3543,Mercure Padang
515,Cap Malheureux,MU,75.0,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
517,Banda Aceh,ID,76.86,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
534,Sibolga,ID,75.65,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
540,Nuevo Progreso,MX,75.99,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
546,Charlestown,AU,75.99,overcast clouds,-32.95,151.6667,Panorama Motor Inn Hotel
548,San Clemente,US,81.0,clear sky,33.427,-117.61200000000001,Casablanca Inn
549,Kinablangan,PH,77.68,light rain,7.6947,126.5503,Danny Moreno Property
555,Grand Baie,MU,75.0,scattered clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
566,Anloga,GH,80.6,few clouds,5.7947,0.8973,Pin Drop Hotel
